1707013525919|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1707013714143|4|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714144|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714145|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714247|7|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714247|7|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714250|7|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714254|6|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714308|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013714309|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723903|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013723909|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723914|4|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723916|4|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723917|4|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723964|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723967|4|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723969|6|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013723971|6|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013724020|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013724024|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013774517|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1707013774582|62|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1707013778519|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013778533|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778534|2|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778535|3|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778536|4|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778619|4|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778623|5|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778623|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778626|5|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778666|5|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013778669|5|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782526|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| select count(1) from temp | select count(1) from temp 
1707013782531|2|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 0 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782532|4|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 3000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782532|3|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 1000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782533|3|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 2000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782582|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 4000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782582|3|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 5000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782582|4|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 6000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782582|4|statement|connection 2|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 7000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782625|6|statement|connection 1|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 8000 ROWS FETCH NEXT 1000 ROWS ONLY 
1707013782625|7|statement|connection 3|url jdbc:p6spy:oracle:thin:@localhost:1521/ORDS| SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY | SELECT * FROM (  select temp_id tempId, code, name, note from temp order by temp_id  ) a  OFFSET 9000 ROWS FETCH NEXT 1000 ROWS ONLY 
